pl_hostname,pl_name,pl_discmethod,pl_orbper,st_dist,st_mass,st_rad,pl_rade,pl_trandur,pl_tranmid,pl_facility
Kepler-861,Kepler-861 b,Transit,3.94963138,806,0.82,0.78,2.28,0.065783,2454967.60939,Kepler
Kepler-1189,Kepler-1189 b,Transit,3.78858982,883,1.11,1.16,1.77,0.1455,2454967.6227,Kepler
Kepler-1145,Kepler-1145 b,Transit,3.97076766,714,0.79,0.75,1.4,0.07558,2454967.63885,Kepler
Kepler-851,Kepler-851 b,Transit,8.50699658,869,0.89,0.85,1.68,0.12608,2454967.64306,Kepler
Kepler-62,Kepler-62 c,Transit,12.4417,368,0.69,0.64,0.54,0.1258,2454967.651,Kepler
Kepler-839,Kepler-839 b,Transit,37.8144514,833,1.22,1.31,2.57,0.357438,2454967.66702,Kepler
Kepler-1214,Kepler-1214 b,Transit,18.82634264,757,0.85,0.8,2.36,0.09721,2454967.70171,Kepler
Kepler-1557,Kepler-1557 b,Transit,3.74032496,1532,1.11,1.17,1.53,0.10163,2454967.7027,Kepler
Kepler-1182,Kepler-1182 b,Transit,11.17394617,1258,1.04,1.05,2.41,0.14254,2454967.70408,Kepler
Kepler-493,Kepler-493 b,Transit,3.00387658,1942,1.36,1.54,15.13,0.135771,2454967.711271,Kepler
Kepler-1131,Kepler-1131 b,Transit,3.53232449,1109,1.03,1.04,1.59,0.116967,2454967.74478,Kepler
Kepler-1400,Kepler-1400 b,Transit,9.06689421,879,0.83,0.78,1.62,0.12321,2454967.75212,Kepler
Kepler-1175,Kepler-1175 b,Transit,37.94563,1244,0.9,0.86,2.99,0.16771,2454967.78267,Kepler
Kepler-500,Kepler-500 b,Transit,8.5083244,747,1.02,1.03,2.58,0.145971,2454967.786614,Kepler
Kepler-783,Kepler-783 b,Transit,4.29264638,544,0.93,0.89,0.78,0.10925,2454967.79738,Kepler
Kepler-825,Kepler-825 c,Transit,8.1818246,820,1.03,1.08,1.84,0.102483,2454967.81479,Kepler
Kepler-271,Kepler-271 b,Transit,10.43547805,418,0.9,0.87,1.23,0.141863,2454967.82334,Kepler
Kepler-1629,Kepler-1629 b,Transit,3.87595807,390,1.01,1.01,0.77,0.09275,2454967.84448,Kepler
Kepler-1344,Kepler-1344 b,Transit,4.7683049,851,1.09,1.13,1.84,0.135488,2454967.8621,Kepler
Kepler-1076,Kepler-1076 b,Transit,6.14727918,199,0.79,0.74,0.8,0.115113,2454967.87409,Kepler
Kepler-1588,Kepler-1588 b,Transit,7.84931739,658,0.96,0.99,0.76,0.15567,2454967.87654,Kepler
Kepler-886,Kepler-886 b,Transit,6.24146367,857,1.1,1.16,1.52,0.128213,2454967.88704,Kepler
Kepler-1411,Kepler-1411 b,Transit,86.1150888,1431,0.95,0.92,2.82,0.2554,2454967.8925,Kepler
Kepler-1568,Kepler-1568 b,Transit,20.925392,883,1.09,1.19,1.3,0.27571,2454967.895,Kepler
Kepler-823,Kepler-823 b,Transit,4.16809082,896,0.98,0.96,1.57,0.11346,2454967.89991,Kepler
Kepler-980,Kepler-980 b,Transit,11.55102504,804,1.05,1.06,2.67,0.15475,2454967.90861,Kepler
Kepler-792,Kepler-792 b,Transit,11.30119217,1205,1.09,1.12,1.96,0.1658,2454967.92026,Kepler
Kepler-497,Kepler-497 b,Transit,3.57320367,1070,1.09,1.11,6.04,0.120154,2454967.934257,Kepler
Kepler-31,Kepler-31 d,Transit,87.6451,2100,1.21,1.22,3.9,0.344,2454967.942,Kepler
Kepler-1585,Kepler-1585 b,Transit,3.5827463,1269,0.94,0.91,1.79,0.06421,2454967.94912,Kepler
